BDM_id,BDM,Categorie,Plot_id
01,569118,Autre,010101
01,569118,Autre,010102
01,569118,Autre,010103
01,569118,Autre,010104
01,569118,Autre,010105
01,569118,Autre,010106
01,569118,Autre,010107
01,569118,Autre,010108
01,569118,Autre,010109
01,569118,ForetConifere,010401
01,569118,ForetConifere,010402
01,569118,ForetConifere,010403
01,569118,ForetConifere,010404
01,569118,ForetConifere,010405
01,569118,ForetConifere,010406
01,569118,ForetFeuillus,010501
01,569118,ForetMixe,010601
01,569118,lisiere,010901
01,569118,lisiere,010902
01,569118,lisiere,010903
01,569118,lisiere,010904
01,569118,pierrier,011101
01,569118,transport,011301
01,569118,ZoneConstruite,011501
02,563126,Autre,020101
02,563126,Autre,020102
02,563126,Autre,020103
02,563126,Autre,020104
02,563126,Autre,020105
02,563126,Autre,020106
02,563126,Autre,020107
02,563126,Autre,020108
02,563126,Autre,020109
02,563126,Autre,020110
02,563126,Autre,020111
02,563126,Autre,020112
02,563126,Autre,020113
02,563126,Carriere,020201
02,563126,ForetConifere,020401
02,563126,ForetFeuillus,020501
02,563126,ForetMixe,020601
02,563126,lisiere,020901
02,563126,pierrier,021101
02,563126,transport,021301
02,563126,transport,021302
02,563126,ZoneConstruite,021501
03,575126,Autre,030101
03,575126,Autre,030102
03,575126,Autre,030103
03,575126,Autre,030104
03,575126,Autre,030105
03,575126,Autre,030106
03,575126,Autre,030107
03,575126,Autre,030108
03,575126,Autre,030109
03,575126,Autre,030110
03,575126,Autre,030111
03,575126,Autre,030112
03,575126,ForetConifere,030401
03,575126,ForetConifere,030402
03,575126,ForetConifere,030403
03,575126,ForetFeuillus,030501
03,575126,ForetMixe,030601
03,575126,lisiere,030901
03,575126,lisiere,030902
03,575126,lisiere,030903
03,575126,PrairieSeche,031201
03,575126,transport,031301
03,575126,ZoneConstruite,031501
04,581134,Autre,040101
04,581134,Autre,040102
04,581134,Autre,040103
04,581134,Autre,040104
04,581134,Autre,040105
04,581134,Autre,040106
04,581134,Autre,040107
04,581134,Autre,040108
04,581134,Autre,040109
04,581134,Autre,040110
