CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECIESID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110
17323;Temn;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);5;534006;152793;405;NA;NA;NA;NA;5;Tanja Schwander;Temn;;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16098;Temn;Temn_nyla;public;NA;oui;NA;NA;Bière;NA;514574;155751;773;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
8585;Temn;Temn_nyla;public;NA;oui;NA;NA;Chevroux;2;560027;193955;433;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2997;Temn;Temn_nyla;public;NA;oui;NA;NA;Ollon;7;562637;126948;387;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20497;Temn;Temn_nyla;public;NA;non;NA;NA;Lonay;2;529518;152966;395;NA;1;NA;NA;NA;Anne Freitag;Temn;;2019;;;reine désailée;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17495;Temn;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);NA;534006;152793;405;NA;NA;NA;NA;NA;Tanja Schwander;Temn;;2019;;; zone échantillonnée par différents étudiants du cours bioindication;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
20716;Temn;Temn_nyla;public;NA;oui;NA;NA;Vully-les-Lacs;NA;569507;198592;538;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
17214;Temn;Temn_nyla;public;NA;oui;NA;NA;Ecublens (VD);3;534006;152793;405;NA;NA;NA;NA;NA;Tanja Schwander;Temn;;2019;;; zone échantillonnée par différents étudiants du cours bioindication, 1 épinglé;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
16287;Temn;Temn_nyla;public;NA;non;NA;NA;Ollon;1;562682;126968;387;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
10563;Temn;Temn_nyla;public;NA;non;NA;NA;Lausanne;1;538865;154458;635;NA;NA;NA;NA;NA;Anne Freitag;Temn;;2019;;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
