CATALOGUENUMBER;SPECIESSUMMARY;SPECIESID_GENETIC;SAMPLING;TypeOfSample;NESTCOLLECTION;BDM;PLOT;COMMUNEEXTRACT;NUMBERWORKERS;X;Y;ALTITUDE;HABITAT;NUMBERQUEENS;NUMBERMALES;NUMBERLARVAE;NUMBERCOCOONS;IDENTIFIER;GENUSID;SPECISID;DATEIDENTIFICATION;CONFIRMEDID;SPECIESIDFINAL;COMMENTS;slope25;topo;south;gt_ch_100;LU18_46cl;LC18_27cl;SampleDate;SoilTemp;SoilTempAnomaly;TypeOfOpen;mixedForest;Grass;Forb;Shrub;Bare;Litter;Moss;bio1_tmean_8110;bio2_dr_8110;bio1_tmean_8110_8111;bio2_dr_8110_8111;bio5_tmaxw_8110;bio6_tminc_8110;bio7_tar_8110;bio8_twetq_8110;bio9_tdryq_8110;bio10_twarmq_8110;bio11_tcoldq_8110;bio12_p_8110;bio13_pwet_8110;bio14_pdry_8110;bio15_ps_8110;bio16_pwetq_8110;bio17_pdryq_8110;bio18_pwarmq_8110;bio19_pcoldq_8110;col;
16582;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Boulens;11;544169;169290;698;ForetFeuillus;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
20285;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Jorat-Menthue;8;544543;163166;881;ForetMixe;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
7204;Camp_herc;Camp_herc;public;NA;non;NA;NA;Lignerolle;3;523554;176916;907;transport;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
172;Camp_herc;Camp_herc;public;NA;non;NA;NA;Lutry;4;544528;152736;749;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
11809;Camp_herc;Camp_herc;public;NA;non;NA;NA;Villars-le-Comte;12;551560;174885;771;transport;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;Camponotus herculeanus selon pilosité, mais coloration de C. ligniperda ! A confirmer;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
12231;Camp_herc;Camp_herc;public;NA;non;NA;NA;Ormont-Dessous;6;573414;134428;1172;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
6724;Camp_herc;Camp_herc;public;NA;non;NA;NA;Montilliez;1;542239;166788;677;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
3467;Camp_herc;Camp_herc;public;NA;non;NA;NA;Ollon;3;570889;127228;1298;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
10534;Camp_herc;Camp_herc;public;NA;non;NA;NA;Montreux;1;562219;142785;1156;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
3555;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Ormont-Dessous;5;572999;131437;1696;lisiere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
288;Camp_herc;Camp_herc;public;NA;non;NA;NA;Ormont-Dessus;1;578884;131493;1221;ForetConifere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
10848;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Lausanne;9;542970;158283;865;transport;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
15971;Camp_herc;Camp_herc;public;NA;non;NA;NA;Puidoux;1;548163;151012;725;ForetFeuillus;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
18713;Camp_herc;Camp_herc;public;NA;non;NA;NA;Bière;1;511612;156161;1311;ForetConifere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
17164;Camp_herc;Camp_herc;public;NA;NA;NA;NA;Saubraz;3;514016;152525;724;lisiere;NA;NA;NA;NA;Claude Lebas;Camp;Camp_herc;2019;oui;Camp_herc;Collected by Lebas, within 500m of GPS;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
3560;Camp_herc;Camp_herc;public;NA;non;NA;NA;Ormont-Dessous;1;573003;131440;1698;lisiere;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
9641;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Ormont-Dessus;3;576631;134192;1271;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
8902;Camp_herc;Camp_herc;public;NA;non;NA;NA;Poliez-Pittet;1;543406;164246;762;zalluviale;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
12621;Camp_herc;Camp_herc;public;NA;non;NA;NA;Leysin;1;566107;131837;1230;transport;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
19828;Camp_herc;Camp_herc;public;NA;oui;NA;NA;Ormont-Dessous;12;571691;132708;1377;ZoneConstruite;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
10504;Camp_herc;Camp_herc;public;NA;non;NA;NA;Blonay;1;559306;147991;1345;Autre;NA;NA;NA;NA;Anne Freitag;Camp;Camp_herc;2019;oui;Camp_herc;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#27AAE1;
3455;Camp_lign;Camp_lign;public;NA;non;NA;NA;Aigle;3;564216;128307;479;ForetMixe;NA;NA;NA;NA;Anne Freitag;Camp;Camp_lign;2019;oui;Camp_lign;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;#F9ED32;
