"CATALOGUENUMBER" "ID"
"7732" "Tetr_caes"
"9990256" "Tetr_caes"
"12892" "Tetr_caes"
"5810" "Tetr_caes"
"10089" "Tetr_caes"
"1045" "Tetr_caes"
"10518B" "Tetr_caes"
"10811" "Tetr_caes"
"11379" "Tetr_caes"
"11490" "Tetr_caes"
"11674" "Tetr_caes"
"11902" "Tetr_caes"
"12008" "Tetr_caes"
"12025" "Tetr_caes"
"12032" "Tetr_caes"
"12117" "Tetr_caes"
"12256" "Tetr_caes"
"12354" "Tetr_caes"
"12437" "Tetr_caes"
"12513" "Tetr_caes"
"12553" "Tetr_caes"
"12563" "Tetr_caes"
"12579" "Tetr_caes"
"12664" "Tetr_caes"
"12737" "Tetr_caes"
"12795" "Tetr_caes"
"12803" "Tetr_caes"
"12937" "Tetr_caes"
"13234" "Tetr_caes"
"13724" "Tetr_caes"
"13732" "Tetr_caes"
"13747" "Tetr_caes"
"13885" "Tetr_caes"
"14030" "Tetr_caes"
"14061" "Tetr_caes"
"14072" "Tetr_caes"
"14089" "Tetr_caes"
"14200" "Tetr_caes"
"14376" "Tetr_caes"
"14830" "Tetr_caes"
"16116" "Tetr_caes"
"16262" "Tetr_caes"
"16369" "Tetr_caes"
"16677" "Tetr_caes"
"16752" "Tetr_caes"
"17207" "Tetr_caes"
"18305" "Tetr_caes"
"19974" "Tetr_caes"
"20203B" "Tetr_caes"
"2025" "Tetr_caes"
"2099" "Tetr_caes"
"2182" "Tetr_caes"
"2221" "Tetr_caes"
"2419" "Tetr_caes"
"2443" "Tetr_caes"
"266" "Tetr_caes"
"2693" "Tetr_caes"
"2804" "Tetr_caes"
"2884" "Tetr_caes"
"2895" "Tetr_caes"
"3118D" "Tetr_caes"
"4278" "Tetr_caes"
"4460" "Tetr_caes"
"4547" "Tetr_caes"
"454B" "Tetr_caes"
"4741B" "Tetr_caes"
"4891" "Tetr_caes"
"4898" "Tetr_caes"
"4964" "Tetr_caes"
"5511" "Tetr_caes"
"5597" "Tetr_caes"
"5611" "Tetr_caes"
"5707" "Tetr_caes"
"5769" "Tetr_caes"
"5801" "Tetr_caes"
"5809" "Tetr_caes"
"5822" "Tetr_caes"
"5896" "Tetr_caes"
"5898" "Tetr_caes"
"5918" "Tetr_caes"
"5997" "Tetr_caes"
"6065" "Tetr_caes"
"6664" "Tetr_caes"
"6853" "Tetr_caes"
"6881" "Tetr_caes"
"7662" "Tetr_caes"
"775B" "Tetr_caes"
"806" "Tetr_caes"
"8426" "Tetr_caes"
"8495" "Tetr_caes"
"858" "Tetr_caes"
"8890B" "Tetr_caes"
"9189" "Tetr_caes"
"9199" "Tetr_caes"
"9640" "Tetr_caes"
"9868" "Tetr_caes"
"9960" "Tetr_caes"
"9990053" "Tetr_caes"
"9990713" "Tetr_caes"
"9990934" "Tetr_caes"
"9991091" "Tetr_caes"
"9991092" "Tetr_caes"
"9991124" "Tetr_caes"
"9991188" "Tetr_caes"
"9991345" "Tetr_caes"
"9991724" "Tetr_caes"
"9991842" "Tetr_caes"
"9991903" "Tetr_caes"
"9992728" "Tetr_caes"
"5451" "Tetr_immi"
"563" "Tetr_immi"
"4250" "Tetr_immi"
"4166" "Tetr_immi"
"3659" "Tetr_immi"
"4124B" "Tetr_immi"
"9452" "Tetr_immi"
"3577B" "Tetr_immi"
"2535" "Tetr_immi"
"1479" "Tetr_immi"
